Time,ROOM_012C6109:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_012C6109:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_012C6109:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_012C6109:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_0A9F4C30:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_0A9F4C30:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_0A9F4C30:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_0A9F4C30:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_0EA917C0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_0EA917C0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_0EA917C0:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_0EA917C0:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_26F53AD9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_26F53AD9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_26F53AD9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_26F53AD9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_4D7DCD9D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_4D7DCD9D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_4D7DCD9D:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_4D7DCD9D:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_641197E7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_641197E7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_641197E7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_641197E7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_6ABD84E9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_6ABD84E9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_6ABD84E9:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_6ABD84E9:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_7BB421C7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_7BB421C7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_7BB421C7:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_7BB421C7:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_9ED4D22F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_9ED4D22F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_9ED4D22F:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_9ED4D22F:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_B18E5A77:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_B18E5A77:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_B18E5A77:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_B18E5A77:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_B5592C9E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_B5592C9E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_B5592C9E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_B5592C9E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_C418204E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_C418204E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_C418204E:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_C418204E:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_D45983FE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_D45983FE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_D45983FE:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_D45983FE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_EFF6C672:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_EFF6C672:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_EFF6C672:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_EFF6C672:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_F2D078AC:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_F2D078AC:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_F2D078AC:BOSTON LOGAN INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_F2D078AC:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.835518E+02,5.834729E+01,7.374620E-03,4.502287E-03,6.787125E+01,3.542947E+00,2.726109E-03,2.733737E-04,2.439977E+02,2.585084E+02,9.804875E-03,1.994657E-02,6.109219E+01,2.836782E+02,2.456597E-03,2.188744E-02,2.505698E+02,2.985244E+02,1.006901E-02,2.303421E-02,0.000000E+00,1.507881E+02,0.000000E+00,1.163408E-02,0.000000E+00,1.029643E+02,0.000000E+00,7.943677E-03,0.000000E+00,3.895660E+01,0.000000E+00,3.005482E-03,0.000000E+00,5.316094E+02,0.000000E+00,4.101610E-02,3.716449E+00,1.082967E+02,1.494631E-04,8.355760E-03,2.961352E+02,6.249365E+02,1.190127E-02,4.821811E-02,1.917372E+01,2.477600E+02,7.708324E-04,1.911617E-02,0.000000E+00,2.813401E+02,0.000000E+00,2.170684E-02,2.912589E+02,1.610304E+02,1.170301E-02,1.242540E-02,2.142822E+02,7.779369E+01,8.609810E-03,6.002682E-03
00:20:00,1.904563E+02,5.989175E+01,7.651995E-03,4.621497E-03,7.074240E+01,4.260008E+00,2.841470E-03,3.287081E-04,2.542651E+02,2.608022E+02,1.021732E-02,2.012363E-02,8.049511E+01,2.888278E+02,3.236376E-03,2.228482E-02,2.612032E+02,3.004541E+02,1.049616E-02,2.318316E-02,0.000000E+00,1.539150E+02,0.000000E+00,1.187535E-02,0.000000E+00,1.073525E+02,0.000000E+00,8.282214E-03,0.000000E+00,4.135951E+01,0.000000E+00,3.190861E-03,0.000000E+00,5.393655E+02,0.000000E+00,4.161456E-02,7.515489E+00,1.117705E+02,3.021474E-04,8.623823E-03,3.185299E+02,6.316286E+02,1.280113E-02,4.873457E-02,3.021038E+01,2.527423E+02,1.214394E-03,1.950064E-02,0.000000E+00,2.867544E+02,0.000000E+00,2.212462E-02,3.024551E+02,1.636497E+02,1.215276E-02,1.262758E-02,2.226918E+02,8.006093E+01,8.947629E-03,6.177674E-03
00:30:00,1.967146E+02,6.115608E+01,7.903420E-03,4.719079E-03,7.340383E+01,4.904960E+00,2.948447E-03,3.784791E-04,2.634001E+02,2.624697E+02,1.058425E-02,2.025233E-02,9.438546E+01,2.932201E+02,3.793293E-03,2.262374E-02,2.706754E+02,3.017111E+02,1.087663E-02,2.328018E-02,2.136284E+00,1.565054E+02,8.593480E-05,1.207522E-02,0.000000E+00,1.113290E+02,0.000000E+00,8.588981E-03,0.000000E+00,4.354973E+01,0.000000E+00,3.359830E-03,0.000000E+00,5.460566E+02,0.000000E+00,4.213083E-02,1.281029E+01,1.148168E+02,5.149451E-04,8.858887E-03,3.399314E+02,6.372129E+02,1.366108E-02,4.916550E-02,4.319765E+01,2.570166E+02,1.736343E-03,1.983046E-02,3.959962E+00,2.914267E+02,1.593056E-04,2.248514E-02,3.130784E+02,1.657250E+02,1.257953E-02,1.278775E-02,2.305779E+02,8.199383E+01,9.264449E-03,6.326853E-03
00:40:00,2.023160E+02,6.217589E+01,8.128457E-03,4.797783E-03,7.583182E+01,5.488500E+00,3.046024E-03,4.235114E-04,2.715284E+02,2.636213E+02,1.091074E-02,2.034120E-02,1.075592E+02,2.969765E+02,4.322682E-03,2.291359E-02,2.790649E+02,3.024220E+02,1.121363E-02,2.333504E-02,5.008973E+00,1.586400E+02,2.013902E-04,1.223991E-02,0.000000E+00,1.149304E+02,0.000000E+00,8.866807E-03,0.000000E+00,4.554496E+01,0.000000E+00,3.513755E-03,2.104581E+00,5.518663E+02,8.480797E-05,4.257907E-02,1.922703E+01,1.174894E+02,7.728292E-04,9.065108E-03,3.589043E+02,6.419008E+02,1.442343E-02,4.952723E-02,5.794175E+01,2.606935E+02,2.328892E-03,2.011417E-02,9.143583E+00,2.954713E+02,3.676396E-04,2.279721E-02,3.228249E+02,1.673390E+02,1.297109E-02,1.291232E-02,2.377625E+02,8.363312E+01,9.553089E-03,6.453366E-03
00:50:00,2.073414E+02,6.298368E+01,8.330346E-03,4.860119E-03,7.802523E+01,6.006557E+00,3.134163E-03,4.634908E-04,2.790336E+02,2.643479E+02,1.121221E-02,2.039725E-02,1.201602E+02,3.001986E+02,4.829054E-03,2.316219E-02,2.867739E+02,3.026894E+02,1.152328E-02,2.335565E-02,9.061224E+00,1.603884E+02,3.642512E-04,1.237480E-02,0.000000E+00,1.181945E+02,0.000000E+00,9.118612E-03,0.000000E+00,4.736047E+01,0.000000E+00,3.653812E-03,9.760107E+00,5.569430E+02,3.924934E-04,4.297073E-02,2.665100E+01,1.198370E+02,1.071189E-03,9.246250E-03,3.761155E+02,6.458589E+02,1.511497E-02,4.983263E-02,6.994531E+01,2.638664E+02,2.811058E-03,2.035897E-02,1.627576E+01,2.989841E+02,6.542853E-04,2.306824E-02,3.318446E+02,1.685630E+02,1.333345E-02,1.300676E-02,2.442794E+02,8.501620E+01,9.814912E-03,6.560100E-03
01:00:00,2.118346E+02,6.360891E+01,8.510871E-03,4.908363E-03,7.999891E+01,6.458146E+00,3.213467E-03,4.983405E-04,2.860516E+02,2.647248E+02,1.149414E-02,2.042631E-02,1.308393E+02,3.029718E+02,5.258178E-03,2.337614E-02,2.939747E+02,3.025973E+02,1.181255E-02,2.334853E-02,1.416330E+01,1.618110E+02,5.693023E-04,1.248455E-02,0.000000E+00,1.211589E+02,0.000000E+00,9.347287E-03,0.000000E+00,4.900275E+01,0.000000E+00,3.780505E-03,1.823696E+01,5.614084E+02,7.331837E-04,4.331522E-02,3.440769E+01,1.219039E+02,1.382820E-03,9.405721E-03,3.918533E+02,6.492208E+02,1.574731E-02,5.009199E-02,8.161348E+01,2.666145E+02,3.279961E-03,2.057099E-02,2.529272E+01,3.020469E+02,1.016678E-03,2.330454E-02,3.400590E+02,1.694582E+02,1.366349E-02,1.307583E-02,2.501576E+02,8.617735E+01,1.005108E-02,6.649702E-03
01:10:00,2.158727E+02,6.417293E+01,8.673114E-03,4.951881E-03,8.177007E+01,6.858050E+00,3.284633E-03,5.292015E-04,2.927139E+02,2.651191E+02,1.176179E-02,2.045672E-02,1.404617E+02,3.057816E+02,5.644833E-03,2.359291E-02,3.008108E+02,3.025357E+02,1.208718E-02,2.334374E-02,2.015673E+01,1.631354E+02,8.101736E-04,1.258672E-02,0.000000E+00,1.240392E+02,0.000000E+00,9.569480E-03,0.000000E+00,5.055438E+01,0.000000E+00,3.900203E-03,2.999169E+01,5.661342E+02,1.205613E-03,4.367979E-02,4.045377E+01,1.239064E+02,1.625788E-03,9.560223E-03,4.063155E+02,6.529815E+02,1.632838E-02,5.038211E-02,9.208260E+01,2.693703E+02,3.700668E-03,2.078361E-02,3.590326E+01,3.051472E+02,1.443112E-03,2.354372E-02,3.475440E+02,1.703036E+02,1.396422E-02,1.314105E-02,2.554379E+02,8.729430E+01,1.026323E-02,6.735888E-03
01:20:00,2.195174E+02,6.461535E+01,8.819557E-03,4.986014E-03,8.335364E+01,7.203553E+00,3.348260E-03,5.558643E-04,2.991842E+02,2.653054E+02,1.202175E-02,2.047107E-02,1.492054E+02,3.082974E+02,5.996173E-03,2.378700E-02,3.074524E+02,3.022691E+02,1.235402E-02,2.332314E-02,2.695238E+01,1.642398E+02,1.083282E-03,1.267191E-02,0.000000E+00,1.266895E+02,0.000000E+00,9.773925E-03,0.000000E+00,5.196841E+01,0.000000E+00,4.009285E-03,4.411452E+01,5.704678E+02,1.773212E-03,4.401410E-02,4.660015E+01,1.257127E+02,1.872783E-03,9.699580E-03,4.196482E+02,6.563945E+02,1.686406E-02,5.064540E-02,1.014377E+02,2.718453E+02,4.076596E-03,2.097454E-02,4.796557E+01,3.079460E+02,1.927889E-03,2.375963E-02,3.543103E+02,1.709401E+02,1.423607E-02,1.319016E-02,2.602002E+02,8.826216E+01,1.045456E-02,6.810568E-03
01:30:00,2.228292E+02,6.495624E+01,8.952632E-03,5.012313E-03,8.477355E+01,7.499562E+00,3.405311E-03,5.787076E-04,3.054405E+02,2.653241E+02,1.227313E-02,2.047249E-02,1.572426E+02,3.105660E+02,6.319120E-03,2.396201E-02,3.138665E+02,3.018407E+02,1.261174E-02,2.329006E-02,3.233681E+01,1.651600E+02,1.299593E-03,1.274289E-02,0.000000E+00,1.291376E+02,0.000000E+00,9.962773E-03,0.000000E+00,5.326078E+01,0.000000E+00,4.108982E-03,6.043291E+01,5.744693E+02,2.429047E-03,4.432278E-02,5.194793E+01,1.273505E+02,2.087679E-03,9.825938E-03,4.319564E+02,6.595205E+02,1.735858E-02,5.088655E-02,1.099970E+02,2.740837E+02,4.420541E-03,2.114722E-02,5.742601E+01,3.104885E+02,2.307936E-03,2.395577E-02,3.604713E+02,1.714047E+02,1.448360E-02,1.322599E-02,2.645179E+02,8.910438E+01,1.062804E-02,6.875552E-03
01:40:00,2.258898E+02,6.521303E+01,9.075612E-03,5.032122E-03,8.604974E+01,7.751639E+00,3.456587E-03,5.981606E-04,3.115734E+02,2.652095E+02,1.251956E-02,2.046363E-02,1.646498E+02,3.126279E+02,6.616747E-03,2.412107E-02,3.202014E+02,3.012868E+02,1.286628E-02,2.324730E-02,3.763436E+01,1.659270E+02,1.512482E-03,1.280205E-02,0.000000E+00,1.314093E+02,0.000000E+00,1.013802E-02,0.000000E+00,5.444656E+01,0.000000E+00,4.200456E-03,7.670045E+01,5.781920E+02,3.082609E-03,4.460996E-02,5.682174E+01,1.288449E+02,2.283524E-03,9.941230E-03,4.433255E+02,6.624125E+02,1.781536E-02,5.110965E-02,1.178756E+02,2.761241E+02,4.737125E-03,2.130463E-02,6.692947E+01,3.128148E+02,2.689857E-03,2.413523E-02,3.661083E+02,1.717290E+02,1.471009E-02,1.325100E-02,2.684564E+02,8.984142E+01,1.078628E-02,6.932419E-03
01:50:00,2.287066E+02,6.540078E+01,9.188810E-03,5.046605E-03,8.720070E+01,7.965254E+00,3.502833E-03,6.146455E-04,3.174007E+02,2.649904E+02,1.275372E-02,2.044672E-02,1.714709E+02,3.145168E+02,6.890824E-03,2.426679E-02,3.262649E+02,3.006374E+02,1.310994E-02,2.319718E-02,4.234209E+01,1.665668E+02,1.701664E-03,1.285140E-02,0.000000E+00,1.335270E+02,0.000000E+00,1.030137E-02,0.000000E+00,5.553907E+01,0.000000E+00,4.284736E-03,8.934675E+01,5.816799E+02,3.590842E-03,4.487903E-02,6.128357E+01,1.302174E+02,2.462810E-03,1.004711E-02,4.539221E+02,6.651140E+02,1.824110E-02,5.131805E-02,1.251594E+02,2.779986E+02,5.029804E-03,2.144924E-02,7.567035E+01,3.149585E+02,3.041125E-03,2.430061E-02,3.712986E+02,1.719396E+02,1.491863E-02,1.326724E-02,2.720738E+02,9.049101E+01,1.093163E-02,6.982539E-03
